,t (s),CL_0
0,0.0,0.4402861394510501
1,0.0030120481927710845,0.43459768024977347
2,0.006024096385542169,0.4192510478728251
3,0.009036144578313254,0.4027555462810817
4,0.012048192771084338,0.3903747747870049
5,0.015060240963855423,0.3830532407609951
6,0.01807228915662651,0.3785831648675913
7,0.021084337349397592,0.3748403751949545
8,0.024096385542168676,0.37048156709827557
9,0.027108433734939763,0.36501967993214113
10,0.030120481927710847,0.35881517911770217
11,0.03313253012048193,0.35215448361230417
12,0.03614457831325302,0.34479907837245655
13,0.0391566265060241,0.3365356771646941
14,0.042168674698795185,0.32746138486702614
15,0.04518072289156627,0.31779984145863405
16,0.04819277108433735,0.30785086327827654
