,t (s),Torsion Deformation (deg)_0
0,0.0,0.0
1,0.0030120481927710845,-0.007848647152736563
2,0.006024096385542169,-0.021226289488129414
3,0.009036144578313254,-0.022398877350416267
4,0.012048192771084338,0.00338131112917958
5,0.015060240963855423,0.0645500281095416
6,0.01807228915662651,0.1550581930019349
7,0.021084337349397592,0.25694538593670235
8,0.024096385542168676,0.3585450388776476
9,0.027108433734939763,0.4612043861668128
10,0.030120481927710847,0.5719990182467052
11,0.03313253012048193,0.6986636292712641
12,0.03614457831325302,0.8442983469301689
13,0.0391566265060241,1.0032173966153966
14,0.042168674698795185,1.1670218796049294
15,0.04518072289156627,1.332137785230123
16,0.04819277108433735,1.4998089928373235
