,t (s),Vertical Deformation (m)_0
0,0.0,0.0
1,0.0030120481927710845,1.6907396645802818e-05
2,0.006024096385542169,6.565868830994931e-05
3,0.009036144578313254,0.00013494061751340419
4,0.012048192771084338,0.00021008324544414308
5,0.015060240963855423,0.0002822748146568177
6,0.01807228915662651,0.00035217843033927737
7,0.021084337349397592,0.00042757882921214943
8,0.024096385542168676,0.0005181078065103298
9,0.027108433734939763,0.0006296592301916878
10,0.030120481927710847,0.0007620961388345701
11,0.03313253012048193,0.0009115730453417674
12,0.03614457831325302,0.0010740412939748917
13,0.0391566265060241,0.0012467809616428002
14,0.042168674698795185,0.0014277132487947064
15,0.04518072289156627,0.0016134159595382603
16,0.04819277108433735,0.0017979269056255837
