,t (s),CM_0
0,0.0,0.37385262099419925
1,0.002,0.37444666917924063
2,0.004,0.37448222292068845
3,0.006,0.36802238649650926
4,0.008,0.3687007519939137
5,0.01,0.3693503220846042
