,t (s),CT_0
0,0.0,0.007831676701548445
1,0.002,0.00781815339953418
2,0.004,0.007818797625001872
3,0.006,0.007876797126616233
4,0.008,0.007895386951492715
5,0.01,0.007947613946007822
