,t (s),Vertical Deformation (m)_0
0,0.0,0.0
1,0.002,2.998766549597191e-06
2,0.004,1.6276055920291822e-05
3,0.006,5.247062433653435e-05
4,0.008,0.00013240853234874222
5,0.01,0.0002895870721865156
