,t (s),Angle of attack control section (deg)_0
0,0.0,0.17311403303483075
1,0.002,0.1726958358521225
2,0.004,0.17271750373509276
3,0.006,0.17283898974519235
4,0.008,0.17269311580115732
5,0.01,0.17226496282391543
