,t (s),PE_0
0,0.0,-1.79350614050292
1,0.002,-1.8099800356633453
2,0.004,-1.8132332257795243
3,0.006,-1.8050894125928756
4,0.008,-1.805331546226486
5,0.01,-1.802294851870083
