,t (s),Vertical Deformation control section (m)_0
0,0.0,0.0
1,0.002,5.760803067324631e-06
2,0.004,2.7468406735531833e-05
3,0.006,7.520726937498067e-05
4,0.008,0.0001602222476674285
5,0.01,0.00029993917759890606
