,t (s),Torsion Deformation (deg)_0
0,0.0,0.0
1,0.002,-0.0022288284186265457
2,0.004,-0.010178453594532776
3,0.006,-0.026162149598921873
4,0.008,-0.051308406843250005
5,0.01,-0.08729333970090655
