Re,aoa,cl,cd,cm
1584837.312,-4,0.015596361,-0.291348565,-0.047124684
1584837.312,-2,0.013541373,-0.096175104,0.005983749
1584837.312,0,0.012728823,0.121154277,0.065506987
1584837.312,2,0.012138004,0.3472526,0.128161341
1584837.312,4,0.014150813,0.555967041,0.18297379
1584837.312,6,0.018193973,0.74208646,0.229338358
1584837.312,8,0.024952974,0.870733977,0.256017492
1584837.312,10,0.041306205,0.866588794,0.24803384
1584837.312,12,0.063684286,0.82756762,0.237470476
1584837.312,14,0.088614307,0.812382657,0.237247271
1584837.312,16,0.128307042,0.739999172,0.233687951
1584837.312,18,0.180795368,0.657101743,0.236415005
1584837.312,20,0.240265636,0.581154662,0.240933699
1584837.312,22,0.280256065,0.586302478,0.254969105
1584837.312,24,0.328611091,0.605889823,0.275167304
1584837.312,26,0.368133307,0.627528659,0.293407536
1584837.312,28,0.413146585,0.657803633,0.316436459
1584837.312,30,0.457884221,0.688063236,0.339544567
1584837.312,35,0.571553185,0.737729048,0.39167011
1584837.312,40,0.694078541,0.770112891,0.445044426
1584837.312,45,0.813346894,0.775162526,0.492328524
1584837.312,50,0.931403208,0.76305653,0.539514067
1584837.312,55,1.043246179,0.731382518,0.583495117
1584837.312,60,1.146620592,0.681971648,0.625337721
1584837.312,65,1.236577384,0.61546371,0.663173353
1584837.312,70,1.306906566,0.533156314,0.693732554
1584837.312,75,1.359981122,0.438935044,0.719397365
1584837.312,80,1.396243133,0.33822924,0.741150618
1584837.312,85,1.410631817,0.232051647,0.756410828
1584837.312,90,1.403293656,0.124706397,0.765817207
