,t (s),Torsion 2nd derivative (deg/s^2)
0,0.0,0.0
1,0.00020004000800160032,-20271.050439921804
2,0.00040008001600320064,-21037.46792680743
3,0.000600120024004801,-20061.587587914204
4,0.0008001600320064013,-19754.253555126692
5,0.0010002000400080016,-19510.539346146532
6,0.001200240048009602,-19184.337251256562
7,0.0014002800560112022,-18817.193694043694
8,0.0016003200640128026,-18424.673667850122
9,0.0018003600720144029,-18003.836634912124
10,0.002000400080016003,-17552.92601756229
11,0.0022004400880176033,-17071.305449276795
12,0.002400480096019204,-16561.60971357197
13,0.0026005201040208044,-16023.513670426148
14,0.0028005601120224045,-15457.250052410525
15,0.0030006001200240046,-14864.122416247175
16,0.003200640128025605,-14244.051630920118
17,0.0034006801360272057,-13597.90041177095
18,0.0036007201440288058,-12926.431785914896
19,0.003800760152030406,-12230.662894692012
20,0.004000800160032006,-11511.25466131941
21,0.004200840168033607,-10769.44056273113
22,0.004400880176035207,-10005.935003912766
23,0.004600920184036807,-9222.627106842407
24,0.004800960192038408,-8420.302088516202
25,0.005001000200040008,-7601.10011235432
26,0.005201040208041609,-6765.638682657328
27,0.0054010802160432084,-5917.023055239462
28,0.005601120224044809,-5055.987486480596
29,0.0058011602320464095,-4184.951090114548
30,0.006001200240048009,-3305.205810051101
31,0.00620124024804961,-2419.5652358525494
32,0.00640128025605121,-1530.2130318607337
33,0.006601320264052811,-639.4069906472582
34,0.006801360272054411,250.74278753703413
35,0.007001400280056011,1137.5944413013185
36,0.0072014402880576115,2018.9580454644754
37,0.007401480296059212,2892.8985487721343
38,0.007601520304060812,3756.7076609454625
39,0.007801560312062412,4608.497843631104
40,0.008001600320064013,5446.823346021939
41,0.008201640328065612,6268.186090709631
42,0.008401680336067214,7071.646114777096
43,0.008601720344068814,7856.143760975057
44,0.008801760352070413,8618.736435812476
45,0.009001800360072015,9359.066667123307
46,0.009201840368073614,10075.29709208279
47,0.009401880376075216,10766.019782269916
48,0.009601920384076815,11430.65992925337
49,0.009801960392078415,12067.217815232678
50,0.010002000400080016,12675.880256274348
51,0.010202040408081616,13255.105722649212
52,0.010402080416083218,13804.63013657363
53,0.010602120424084817,14323.247767483326
54,0.010802160432086417,14810.506823102478
55,0.011002200440088018,15265.99616207782
56,0.011202240448089618,15689.382421440985
57,0.011402280456091218,16079.309690954226
58,0.011602320464092819,16436.83235850005
59,0.011802360472094419,16760.47218429594
60,0.012002400480096018,17050.097765670223
61,0.01220244048809762,17305.768914800894
62,0.01240248049609922,17527.0208242769
63,0.01260252050410082,17713.39499479469
64,0.01280256051210242,17864.906674820824
65,0.01300260052010402,17981.77821566453
66,0.013202640528105622,18063.28970961604
67,0.013402680536107221,18109.863039208496
68,0.013602720544108823,18121.575339156578
69,0.013802760552110422,18098.5757415805
70,0.014002800560112022,18041.133320675428
71,0.014202840568113623,17949.618269678653
72,0.014402880576115223,17823.984932479838
73,0.014602920584116823,17664.57925505913
74,0.014802960592118424,17472.606756930018
75,0.015003000600120024,17250.42968790564
76,0.015203040608121624,16996.380791426604
77,0.015403080616123225,16711.19376950108
78,0.015603120624124825,16395.236431403366
79,0.015803160632126424,16049.442200589241
80,0.016003200640128026,15675.118823195182
81,0.016203240648129627,15272.264990286403
82,0.016403280656131225,14842.19928446804
83,0.016603320664132826,14386.163304549149
84,0.016803360672134428,13905.193114329983
85,0.017003400680136026,13400.50181002267
86,0.017203440688137627,12873.427251442414
87,0.01740348069613923,12325.03311126623
88,0.017603520704140826,11756.889452265874
89,0.017803560712142428,11171.837087501995
90,0.01800360072014403,10570.915580586694
91,0.01820364072814563,9956.274298348086
92,0.01840368073614723,9327.640316483057
93,0.01860372074414883,8686.311292900566
94,0.01880376075215043,8033.327627261355
95,0.01900380076015203,7373.16429824528
96,0.01920384076815363,6709.1629905875025
97,0.019403880776155232,6037.467301037757
98,0.01960392078415683,5359.926330090114
99,0.01980396079215843,4677.221405515587
100,0.020004000800160033,3992.39661439598
101,0.02020404080816163,3305.579481760016
102,0.020404080816163232,2616.2876258079186
103,0.020604120824164834,1927.4972520150352
104,0.020804160832166435,1238.9028283304372
105,0.021004200840168033,552.3328011999761
106,0.021204240848169634,-130.90373743899417
107,0.021404280856171236,-810.0604082223302
108,0.021604320864172834,-1483.7290767970144
109,0.021804360872174435,-2150.7742701768484
110,0.022004400880176037,-2810.08780174665
111,0.022204440888177635,-3460.0294787289426
112,0.022404480896179236,-4100.2571274389275
113,0.022604520904180837,-4729.890936123941
114,0.022804560912182435,-5348.641660835907
115,0.023004600920184037,-5955.2268465745865
116,0.023204640928185638,-6549.700981973027
117,0.023404680936187236,-7130.63331253073
118,0.023604720944188837,-7697.170093880732
119,0.02380476095219044,-8248.63008412754
120,0.024004800960192037,-8785.3097154784
121,0.024204840968193638,-9303.29746021043
122,0.02440488097619524,-9804.54769215989
123,0.02460492098419684,-10287.535632617368
124,0.02480496099219844,-10752.10059712965
125,0.02500500100020004,-11197.425484026066
126,0.02520504100820164,-11623.249831137728
127,0.02540508101620324,-12028.1345365623
128,0.02560512102420484,-12411.54883410308
129,0.025805161032206442,-12773.341895520056
130,0.02600520104020804,-13114.132484528718
131,0.026205241048209642,-13431.963403766256
132,0.026405281056211243,-13727.038192386086
133,0.02660532106421284,-13999.197562681096
134,0.026805361072214443,-14248.066180451973
135,0.027005401080216044,-14472.446182154823
136,0.027205441088217645,-14673.015881707839
137,0.027405481096219243,-14847.750324148683
138,0.027605521104220845,-14998.77238424039
139,0.027805561112222446,-15123.048212468526
140,0.028005601120224044,-15222.474349506512
