,t (s),CL_0
0,0.0,0.16268871279942929
1,0.0002,0.16268871279942929
2,0.0004,0.16084088068404592
3,0.0006000000000000001,0.16084088068404592
4,0.0008,0.16084088068404592
5,0.001,0.16084088068404592
6,0.0012000000000000001,0.16084088068404592
7,0.0014,0.16084088068404592
8,0.0016,0.16084088068404592
9,0.0018000000000000002,0.16084088068404592
10,0.002,0.16084088068404592
11,0.0022,0.16084088068404592
12,0.0024000000000000002,0.16084088068404592
13,0.0026000000000000003,0.16045124181256148
14,0.0028,0.16084088068404592
15,0.003,0.16084088068404592
16,0.0032,0.16084088068404592
17,0.0034000000000000002,0.16084088068404592
18,0.0036000000000000003,0.16084088068404592
19,0.0038,0.16084088068404592
20,0.004,0.16084088068404592
21,0.004200000000000001,0.16045124181256148
22,0.0044,0.16084088068404592
23,0.0046,0.16084088068404592
24,0.0048000000000000004,0.16084088068404592
25,0.005,0.16084088068404592
26,0.005200000000000001,0.16045124181256148
27,0.0054,0.16084088068404592
28,0.0056,0.16084088068404592
29,0.0058000000000000005,0.16084088068404592
30,0.006,0.16084088068404592
31,0.006200000000000001,0.16084088068404592
32,0.0064,0.16084088068404592
33,0.0066,0.16084088068404592
34,0.0068000000000000005,0.16084088068404592
35,0.007,0.16084088068404592
36,0.007200000000000001,0.16084088068404592
37,0.0074,0.16084088068404592
38,0.0076,0.16084088068404592
39,0.0078000000000000005,0.16084088068404592
40,0.008,0.16084088068404592
41,0.0082,0.16084088068404592
42,0.008400000000000001,0.16045124181256148
43,0.0086,0.16084088068404592
44,0.0088,0.16084088068404592
45,0.009000000000000001,0.16084088068404592
46,0.0092,0.16084088068404592
47,0.0094,0.16084088068404592
48,0.009600000000000001,0.16084088068404592
49,0.0098,0.16045124181256148
50,0.01,0.16084088068404592
