,t (s),Plunge 2nd derivative (deg/s^2)
0,0.0,0.0
1,0.00020004000800160032,7.009606505779297
2,0.00040008001600320064,7.515911236555731
3,0.000600120024004801,9.01162389002234
4,0.0008001600320064013,8.900686305872306
5,0.0010002000400080016,8.665225622667398
6,0.001200240048009602,8.438980900183571
7,0.0014002800560112022,8.192294001248417
8,0.0016003200640128026,7.921827523391705
9,0.0018003600720144029,7.63194310762988
10,0.002000400080016003,7.326250185587501
11,0.0022004400880176033,7.0102946206860794
12,0.002400480096019204,6.684622898595656
13,0.0026005201040208044,6.351838291534836
14,0.0028005601120224045,6.016467719624992
15,0.0030006001200240046,5.679796495326863
16,0.003200640128025605,5.346270852568373
17,0.0034006801360272057,5.01925162681265
18,0.0036007201440288058,4.701939921193931
19,0.003800760152030406,4.3976475927683545
20,0.004000800160032006,4.1091068499380325
21,0.004200840168033607,3.84018608434589
22,0.004400880176035207,3.59406641398833
23,0.004600920184036807,3.373250002856821
24,0.004800960192038408,3.1812653682505547
25,0.005001000200040008,3.02029614332471
26,0.005201040208041609,2.8930962135203706
27,0.0054010802160432084,2.8016909116765065
28,0.005601120224044809,2.7483409613407055
29,0.0058011602320464095,2.734293877361286
30,0.006001200240048009,2.761339102867214
31,0.00620124024804961,2.830739890675958
32,0.00640128025605121,2.9430420803578015
33,0.006601320264052811,3.0984922554688414
34,0.006801360272054411,3.2980328657869404
35,0.007001400280056011,3.5406499042919193
36,0.0072014402880576115,3.827320388751066
37,0.007401480296059212,4.155941529666475
38,0.007601520304060812,4.526260613962298
39,0.007801560312062412,4.936219263249094
40,0.008001600320064013,5.385005098291552
41,0.008201640328065612,5.870099438708786
42,0.008401680336067214,6.388512409653042
43,0.008601720344068814,6.939618469244445
44,0.008801760352070413,7.519047298103167
45,0.009001800360072015,8.124712785624002
46,0.009201840368073614,8.753237964667763
47,0.009401880376075216,9.40100842637968
48,0.009601920384076815,10.064747702218321
49,0.009801960392078415,10.741122679078693
50,0.010002000400080016,11.426065759614694
51,0.010202040408081616,12.115901941037308
52,0.010402080416083218,12.807401378721554
53,0.010602120424084817,13.495885114333673
54,0.010802160432086417,14.178254469742495
55,0.011002200440088018,14.851147187390277
56,0.011202240448089618,15.509407879086497
57,0.011402280456091218,16.151035260366793
58,0.011602320464092819,16.77265228661269
59,0.011802360472094419,17.370768561843203
60,0.012002400480096018,17.942290524087042
61,0.01220244048809762,18.484454728650622
62,0.01240248049609922,18.99493321964108
63,0.01260252050410082,19.4718189756804
64,0.01280256051210242,19.91277850491732
65,0.01300260052010402,20.315709443176353
66,0.013202640528105622,20.67928510874256
67,0.013402680536107221,21.002984356210785
68,0.013602720544108823,21.28539316141248
69,0.013802760552110422,21.52519948598807
70,0.014002800560112022,21.72268427653195
71,0.014202840568113623,21.878019711510756
72,0.014402880576115223,21.990714302910934
73,0.014602920584116823,22.061521605718504
74,0.014802960592118424,22.091419913308037
75,0.015003000600120024,22.082167394066452
76,0.015203040608121624,22.03369042044951
77,0.015403080616123225,21.94871556819413
78,0.015603120624124825,21.82831325171598
79,0.015803160632126424,21.67517339737023
80,0.016003200640128026,21.491192352630343
81,0.016203240648129627,21.27878990298393
82,0.016403280656131225,21.040380330227322
83,0.016603320664132826,20.778681126261723
84,0.016803360672134428,20.496536034729434
85,0.017003400680136026,20.196937854583794
86,0.017203440688137627,19.882512158149495
87,0.01740348069613923,19.55604577630829
88,0.017603520704140826,19.220531202798515
89,0.017803560712142428,18.88066542564967
90,0.01800360072014403,18.53402271223019
91,0.01820364072814563,18.179324372888534
92,0.01840368073614723,17.82584119059625
93,0.01860372074414883,17.476059652827825
94,0.01880376075215043,17.133251017705362
95,0.01900380076015203,16.796039358138845
96,0.01920384076815363,16.46334802459544
97,0.019403880776155232,16.14353521927509
98,0.01960392078415683,15.837683132226218
99,0.01980396079215843,15.548175197767414
100,0.020004000800160033,15.277238988921678
101,0.02020404080816163,15.025852533686937
102,0.020404080816163232,14.797313862185598
103,0.020604120824164834,14.589860387877298
104,0.020804160832166435,14.405254332321395
105,0.021004200840168033,14.242160041384995
106,0.021204240848169634,14.100998127003201
107,0.021404280856171236,13.98145213035227
108,0.021604320864172834,13.883023075556318
109,0.021804360872174435,13.805050043060278
110,0.022004400880176037,13.747828229916362
111,0.022204440888177635,13.708530176871266
112,0.022404480896179236,13.687225492099738
113,0.022604520904180837,13.681642104887805
114,0.022804560912182435,13.69058585203823
115,0.023004600920184037,13.711883786895594
116,0.023204640928185638,13.741864702616354
117,0.023404680936187236,13.780104687272466
118,0.023604720944188837,13.823639373122381
119,0.02380476095219044,13.870068754348786
120,0.024004800960192037,13.918681155946128
121,0.024204840968193638,13.964821465835755
122,0.02440488097619524,14.007585401643281
123,0.02460492098419684,14.042689685470037
124,0.02480496099219844,14.068159584058334
125,0.02500500100020004,14.081540256116664
126,0.02520504100820164,14.080477912755644
127,0.02540508101620324,14.062513325552166
128,0.02560512102420484,14.025319591388984
129,0.025805161032206442,13.966521841938578
130,0.02600520104020804,13.884619309577733
131,0.026205241048209642,13.77819211698963
132,0.026405281056211243,13.644819825311112
133,0.02660532106421284,13.483227854724552
134,0.026805361072214443,13.292002567909867
135,0.027005401080216044,13.070062495266297
136,0.027205441088217645,12.816233968358867
137,0.027405481096219243,12.52825968211472
138,0.027605521104220845,12.217416731787235
139,0.027805561112222446,11.885760075920022
140,0.028005601120224044,11.521847854123672
141,0.028205641128225645,11.124472626477914
142,0.028405681136227247,10.69538113358954
143,0.028605721144228845,10.234487125818852
144,0.028805761152230446,9.742927433933671
